Date,Open,High,Low,Close,Adj Close,Volume
31/12/2009,37.06800041,37.13100014,36.94875069,36.99824924,36.99824924,4892780.4
4/01/2010,37.18725014,37.39424973,37.09275055,37.23449993,37.23449993,7115420.4
5/01/2010,37.15124931,37.275,36.78000069,37.1625,37.1625,7148180.4
6/01/2010,37.21875,37.275,37.04550076,37.13325062,37.13325062,4610180.4
7/01/2010,37.16699924,37.26374931,36.94650021,37.05900021,37.05900021,4356020.4
8/01/2010,37.06574993,37.12874966,36.88350048,37.08375034,37.08375034,4959380.4
11/01/2010,37.18499966,37.20749931,36.77775021,36.97125034,36.97125034,5759300.4
12/01/2010,36.24900055,36.26024952,35.75850048,35.76525021,35.76525021,18947900.4
13/01/2010,35.76299973,35.87775021,35.46825027,35.8125,35.8125,18584660.4
14/01/2010,35.81024952,36.08925076,35.81024952,35.96775055,35.96775055,9360380.4
15/01/2010,35.93625069,36.04875069,35.72249966,35.84174938,35.84174938,7708340.4
19/01/2010,35.83274918,36.12075062,35.73375034,36.0375,36.0375,5627540.4
20/01/2010,35.88000069,35.96324959,35.5875,35.82375069,35.82375069,6534020.4
21/01/2010,35.83950062,36.04199924,35.38725014,35.44799938,35.44799938,8051420.4
22/01/2010,35.41425076,35.46150055,34.88100014,34.92150021,34.92150021,7909940.4
25/01/2010,35.13300076,35.16225014,34.68075027,34.82924938,34.82924938,8880140.4
26/01/2010,34.83600082,35.29050007,34.65374966,35.11725082,35.11725082,9330500.4
27/01/2010,35.11725082,35.17350082,34.88774986,35.11500034,35.11500034,5352860.4
28/01/2010,35.07675076,35.09250069,34.67399969,34.83600082,34.83600082,5115980.4
29/01/2010,34.98224945,35.06100082,34.62000017,34.69874983,34.69874983,5653100.4
1/02/2010,34.80449924,35.08799973,34.72125034,35.06550007,35.06550007,5068820.4
2/02/2010,35.08125,35.15324993,34.82024918,35.03849945,35.03849945,4197980.4
3/02/2010,34.98000069,35.30175076,34.89000034,35.16450062,35.16450062,4253060.4
4/02/2010,34.98899918,35.04524918,34.31175041,34.44675007,34.44675007,10617500.4
5/02/2010,34.46025038,34.4625,33.96749983,34.36800041,34.36800041,11196740.4
8/02/2010,34.37025003,34.58400021,34.1767499,34.37699976,34.37699976,4556180.4
9/02/2010,34.50300007,35.00250034,34.50300007,34.94850082,34.94850082,8189300.4
10/02/2010,34.97549973,35.00250034,34.80674973,34.96425076,34.96425076,6169700.4
11/02/2010,34.97324924,35.27475014,34.75949993,35.24099979,35.24099979,5803940.4
12/02/2010,35.12175007,35.17350082,34.84275055,35.04524918,35.04524918,7335020.4
16/02/2010,35.13075027,35.35124931,35.09474945,35.29499931,35.29499931,4960100.4
17/02/2010,35.30175076,35.54699993,35.30175076,35.42549973,35.42549973,6005180.4
18/02/2010,35.62350082,35.91150055,35.57175007,35.80124931,35.80124931,7525460.4
19/02/2010,35.72700062,36.03524952,35.70449924,35.90699959,35.90699959,6477140.4
22/02/2010,35.99474945,36.04424973,35.85749931,35.93400021,35.93400021,4611260.4
23/02/2010,35.86425076,36.01274986,35.67750034,35.75399952,35.75399952,5037500.4
24/02/2010,35.77199993,36.15449924,35.72024918,36.02400055,36.02400055,9414380.4
25/02/2010,35.88675041,35.88899918,34.97324924,35.70225048,35.70225048,17948180.4
26/02/2010,35.53350048,35.71574993,35.3625,35.68874931,35.68874931,9071660.4
1/03/2010,35.64149952,36.46274986,35.59199924,36.35250034,36.35250034,9379820.4
2/03/2010,36.32775021,36.67874966,36.29174938,36.56399918,36.56399918,7272740.4
3/03/2010,36.59325027,36.66299973,36.26024952,36.27824993,36.27824993,5389220.4
4/03/2010,36.30749931,36.35925007,36.15,36.35024986,36.35024986,4967300.4
5/03/2010,36.41999931,36.82274952,36.41999931,36.66299973,36.66299973,6299300.4
8/03/2010,36.67199993,36.96450062,36.62700062,36.81374931,36.81374931,5263940.4
9/03/2010,36.61574993,37.09499931,36.57299938,36.97800007,36.97800007,8424020.4
10/03/2010,36.97125034,37.36500034,36.96450062,37.31775055,37.31775055,7394420.4
11/03/2010,37.23224945,37.3875,37.17599945,37.36949959,37.36949959,5920220.4
12/03/2010,37.44149952,37.58549938,37.29975014,37.43474979,37.43474979,3726380.4
15/03/2010,37.36725082,37.44600048,37.17375069,37.40999966,37.40999966,5091500.4
16/03/2010,37.38300076,37.74524918,37.36949959,37.65525055,37.65525055,7100300.4
17/03/2010,37.70024986,37.83524952,37.57425041,37.66649952,37.66649952,4952540.4
18/03/2010,37.65525055,37.82624931,37.59900055,37.70475082,37.70475082,4944260.4
19/03/2010,37.50449924,37.8375,37.41899986,37.50449924,37.50449924,5567060.4
22/03/2010,37.21425076,37.94550076,37.18274918,37.83975048,37.83975048,5842460.4
23/03/2010,37.87350082,37.90049973,37.60124931,37.74749966,37.74749966,4441340.4
24/03/2010,37.63274918,37.77224979,37.48874931,37.53600082,37.53600082,4260260.4
25/03/2010,37.65300007,37.85099945,37.48874931,37.49325027,37.49325027,5256740.4
26/03/2010,37.54499931,37.56750069,37.19174938,37.26374931,37.26374931,3785780.4
29/03/2010,37.32224979,37.37175007,37.15349979,37.22324924,37.22324924,3804500.4
30/03/2010,37.31999931,37.6125,37.22324924,37.36725082,37.36725082,7005620.4
31/03/2010,37.34025021,37.39199924,37.11525021,37.15124931,37.15124931,4092500.4
1/04/2010,37.30200062,37.52249966,37.20300007,37.39650021,37.39650021,3791540.4
5/04/2010,37.47975082,37.71374931,37.47299938,37.69124966,37.69124966,3104300.4
6/04/2010,37.59225082,38.27400055,37.52924938,38.13675041,38.13675041,8935940.4
7/04/2010,38.13000069,38.13000069,37.65300007,37.76550007,37.76550007,6321260.4
8/04/2010,37.65974979,37.97249966,37.53600082,37.93874931,37.93874931,5717540.4
9/04/2010,38.07599945,38.37524986,37.81725082,38.34824924,38.34824924,6914180.4
12/04/2010,38.39774952,38.67675076,38.28524952,38.51475048,38.51475048,8854220.4
13/04/2010,38.48100014,38.55074959,38.32800007,38.49675007,38.49675007,4708460.4
